Fetching target lists from NASA Exoplanet Archive...
  Archive has 350 confirmed, 764 FP
  Selected 50 confirmed, 50 FP
  [ 97/100] FP   K00839.01    (depth=   1178 ppm) ... OK  (2s, p_dip=-0.0010, s_dip=-0.0010)
  [ 98/100] FP   K03156.01    (depth=   1112 ppm) ... OK  (3s, p_dip=-0.0012, s_dip=-0.0012)
  [ 99/100] FP   K03289.01    (depth=   1046 ppm) ... OK  (2s, p_dip=-0.0003, s_dip=-0.0003)
  [100/100] FP   K07501.01    (depth=   1003 ppm) ... OK  (2s, p_dip=-0.0007, s_dip=-0.0007)

Completed: 100 success, 0 failed
Saved dataset to data/kepler_tce.pt
  Phases shape:    torch.Size([100, 200])
  Primary shape:   torch.Size([100, 200])
  Secondary shape: torch.Size([100, 200])
  Confirmed: 50, FP: 50
