name,period_d,depth_ppm,snr,prob,pred_discovery,pred_strict,truth
TOI-1963.01,12.65346622467041,27095.439949,233.5992220763403,0.3844296336174011,0,0,0
TOI-3109.01,2.8831284046173096,26290.0,21.073350258839,0.05654992535710335,0,0,0
TOI-528.01,3.524869203567505,24987.7992456,15.480452730408603,0.1290152221918106,0,0,0
TOI-4181.01,0.5992532968521118,24379.9383482,6.537857063148306,6.466441604402462e-09,0,0,0
TOI-236.01,4.534451007843018,23574.842911,101.36765964249865,0.2079959511756897,0,0,0
TOI-2157.01,8.424903869628906,21600.0,73.08110965381807,0.4785400629043579,1,0,0
TOI-758.01,13.273591041564941,21146.5262939,194.77395414427053,0.4326506555080414,1,0,0
TOI-549.01,0.5162780284881592,20289.210823,3.8362298421804293,0.0015266946284100413,0,0,0
TOI-3528.01,1.974061369895935,19601.2829646,6.301808449940811,0.09949112683534622,0,0,0
TOI-432.01,2.247040033340454,18890.4,22.013791599467936,0.3829078674316406,0,0,0
TOI-3408.01,15.834601402282715,18000.0,7.12177694530331,0.250741571187973,0,0,0
TOI-4985.01,3.567807197570801,17670.0,6.730406358753443,0.06671629846096039,0,0,0
TOI-6143.01,4.093873500823975,16964.0,16.371899616922494,0.282646119594574,0,0,0
TOI-964.01,0.6027399897575378,16763.6,7.180306794448604,0.31578612327575684,0,0,0
TOI-1299.01,5.929405212402344,16410.0,64.7779640305516,0.6041076183319092,1,1,0
TOI-1474.01,5.222620964050293,15867.9920175,4.860501415395269,0.21006961166858673,0,0,0
TOI-3343.01,2.365166187286377,15360.0,4.958532677108726,0.019611980766057968,0,0,0
TOI-2047.01,7.407260417938232,14765.0,52.11173648761115,0.496637225151062,1,0,0
TOI-1017.01,1.1042200326919556,14177.7,16.937207133071738,0.3435555100440979,0,0,0
TOI-1615.01,3.9401791095733643,13317.0,98.81861574960728,0.5178082585334778,1,1,0
TOI-2017.01,5.498260021209717,12929.0,230.5201742891385,0.5635860562324524,1,1,0
TOI-4000.01,3.7027103900909424,12813.0,19.006697466811072,0.282135933637619,0,0,0
TOI-3684.01,3.105654001235962,12400.0,12.639014569995824,0.34572741389274597,0,0,0
TOI-2341.01,0.8774099946022034,12050.0,22.076444698809514,0.1587001532316208,0,0,0
TOI-3507.01,1.7561018466949463,11010.0,2.5527939957534262,0.021650902926921844,0,0,0
TOI-3011.01,1.8418711423873901,10500.0,22.248781143533378,0.27344945073127747,0,0,0
TOI-1168.01,2.1358630657196045,10325.0,44.67794979338403,0.6051570177078247,1,1,0
TOI-3796.01,14.985743522644043,9980.0,8.898150337088635,0.0026918717194348574,0,0,0
TOI-3512.01,1.7113114595413208,9840.0,26.995455979857233,0.533397912979126,1,1,0
TOI-3541.01,2.531395673751831,9640.0,8.541456415802124,0.07676006853580475,0,0,0
TOI-1647.01,6.974423408508301,9189.0,42.31458237528834,0.6510655283927917,1,1,0
TOI-3753.01,3.6502528190612793,9000.0,23.63244306001102,0.40486496686935425,1,0,0
TOI-6020.01,9.10993766784668,8817.0,13.098896866782058,0.606645405292511,1,1,0
TOI-846.01,14.204890251159668,8761.57,7.383067537375368,0.01931162178516388,0,0,0
TOI-147.01,3.423100233078003,8643.1016455,41.29263631588421,0.596517026424408,1,1,0
TOI-1041.01,8.307920455932617,8350.0,38.006654362969186,0.7255058884620667,1,1,0
TOI-4217.01,1.1870336532592773,8164.5762553,3.9359399662887733,0.011431085877120495,0,0,0
TOI-1460.01,6.842498302459717,8029.880305,53.0710279950089,0.6126115322113037,1,1,0
TOI-679.01,11.175542831420898,7873.0,64.93859028633653,0.5314258337020874,1,1,0
TOI-1186.01,11.246461868286133,7576.0,162.5452912768682,0.49985888600349426,1,0,0
TOI-1018.01,4.95911979675293,7440.0,35.613758915264846,0.690245509147644,1,1,0
TOI-1145.01,2.971640110015869,7350.0,21.845044744930878,0.8591252565383911,1,1,0
TOI-6447.01,0.6646521091461182,7197.0,2.9088395570308494,0.003377968445420265,0,0,0
TOI-1996.01,7.724329948425293,7120.0,5.560962152762936,0.54668128490448,1,1,0
TOI-1788.01,5.343259811401367,6980.0,23.141987762389856,0.6961110830307007,1,1,0
TOI-848.01,9.777420043945312,6740.0,3.9125410669410345,0.8611780405044556,1,1,0
TOI-4849.01,3.0617363452911377,6620.0,5.571473498154054,0.27702704071998596,0,0,0
TOI-526.01,7.678746223449707,6458.9029552,5.027382079110085,0.6833072304725647,1,1,0
TOI-1649.01,3.4557862281799316,6423.0,105.06824125954738,0.5410761833190918,1,1,0
TOI-425.01,3.603640079498291,6281.32,21.988033194680277,0.3841513991355896,0,0,0
TOI-2845.01,3.1455020904541016,6190.0,5.9848442433344395,0.3384320139884949,0,0,0
TOI-2571.01,6.002737522125244,6100.0,16.48598980709863,0.6160791516304016,1,1,0
TOI-1120.01,1.6622600555419922,6030.0,11.223657071676554,0.07077816873788834,0,0,0
TOI-2151.01,15.646430015563965,6010.0,4.756604161114883,0.010758420452475548,0,0,0
TOI-1496.01,10.82660961151123,5890.0,5.016376864380498,0.7618098258972168,1,1,0
TOI-1644.01,1.8497201204299927,5750.0,102.3559858072555,0.5179785490036011,1,1,0
TOI-436.01,1.875599980354309,5666.3,8.227259652839786,0.5456726551055908,1,1,0
TOI-916.01,29.173620223999023,5558.85,2.9830266526149365,0.8854014873504639,1,1,0
TOI-2372.01,1.1792343854904175,5398.6996811,5.838844937906393,0.2550504505634308,0,0,0
TOI-6969.01,1.51422917842865,5271.4558635,6.292223260002901,0.27927613258361816,0,0,0
TOI-3290.01,3.9109458923339844,5210.0,8.766001134736443,0.5504250526428223,1,1,0
TOI-3759.01,1.688286304473877,5190.0,5.517406399468981,0.062242958694696426,0,0,0
TOI-2759.01,1.597158432006836,5070.0,4.194203778397904,0.12148405611515045,0,0,0
TOI-1992.01,4.312240123748779,4990.0,18.922904832087127,0.37898150086402893,0,0,0
TOI-3781.01,3.2583796977996826,4800.0,6.9855145855928065,0.42946141958236694,1,0,0
