name,depth_ppm,truth,prob_baseline,pred_baseline,prob_norm_0.0015,pred_norm_0.0015,target_depth
TOI-2151.01,6010.0,0,0.010758420452475548,0,0.7505926489830017,1,0.0015
TOI-1496.01,5890.0,0,0.7618098258972168,1,0.5621185898780823,1,0.0015
TOI-1644.01,5750.0,0,0.5179785490036011,1,0.6065426468849182,1,0.0015
TOI-436.01,5666.3,0,0.5456726551055908,1,0.8036025762557983,1,0.0015
TOI-916.01,5558.85,0,0.8854014873504639,1,0.768587052822113,1,0.0015
TOI-2372.01,5398.6996811,0,0.2550504505634308,0,0.3566574454307556,0,0.0015
TOI-6969.01,5271.4558635,0,0.27927613258361816,0,0.5948969125747681,1,0.0015
TOI-3290.01,5210.0,0,0.5504250526428223,1,0.7139148116111755,1,0.0015
TOI-3759.01,5190.0,0,0.062242958694696426,0,0.4309021234512329,1,0.0015
TOI-2759.01,5070.0,0,0.12148405611515045,0,0.37041646242141724,0,0.0015
TOI-1992.01,4990.0,0,0.37898150086402893,0,0.7189690470695496,1,0.0015
TOI-3781.01,4800.0,0,0.42946141958236694,1,0.7618107199668884,1,0.0015
TOI-1213.01,4731.4046225,0,0.8897353410720825,1,0.85645991563797,1,0.0015
TOI-6768.01,4613.0,0,0.5579453110694885,1,0.8140356540679932,1,0.0015
TOI-2839.01,4550.0,0,0.08090383559465408,0,0.26514652371406555,0,0.0015
TOI-331.01,4450.0,0,0.6304007172584534,1,0.6638373732566833,1,0.0015
TOI-5924.01,4380.0,0,0.6743173599243164,1,0.7095485925674438,1,0.0015
TOI-5275.01,4280.0,0,0.8259395360946655,1,0.8562489151954651,1,0.0015
TOI-171.02,4166.2802035,0,0.6084306836128235,1,0.52921062707901,1,0.0015
TOI-3843.01,4080.0,0,0.8850637078285217,1,0.8843014240264893,1,0.0015
TOI-996.01,4040.0,0,0.6066557168960571,1,0.7604788541793823,1,0.0015
TOI-6172.01,3871.0,0,0.6791906952857971,1,0.7577934861183167,1,0.0015
TOI-4263.01,3841.4834968,0,0.14883026480674744,0,0.38349804282188416,0,0.0015
TOI-2550.01,3806.1953378,0,0.861814022064209,1,0.8703460097312927,1,0.0015
TOI-987.01,3754.150648,0,0.5888031125068665,1,0.7041267156600952,1,0.0015
TOI-584.01,3711.7152579,0,0.3912810981273651,0,0.42329105734825134,1,0.0015
TOI-5434.01,3670.0,0,0.6507208347320557,1,0.6961269378662109,1,0.0015
TOI-3049.01,3640.0,0,0.47354739904403687,1,0.7184118628501892,1,0.0015
TOI-3358.01,3550.0,0,0.79532790184021,1,0.8305567502975464,1,0.0015
TOI-1370.01,3450.0,0,0.6727101802825928,1,0.73660808801651,1,0.0015
TOI-2544.01,3392.7700746,0,0.8625429272651672,1,0.8530235290527344,1,0.0015
