  Resuming from data/kepler_tce_2000.pt: 684 TCEs already downloaded.
Fetching Kepler target lists from NASA Exoplanet Archive...
  Archive has 350 confirmed, 764 FP
  Selected 350 confirmed, 764 FP
  Skipping 684 already-downloaded; 430 remaining.
  [ 89/430] FP   K06087.01      (depth=   5259 ppm) ... OK  (13s, p_dip=-0.0043, s_dip=-0.0043, oe_amp=0.0005)
  [ 90/430] FP   K00026.01      (depth=   5238 ppm) ... OK  (4s, p_dip=-0.0046, s_dip=-0.0046, oe_amp=0.0001)
  [ 91/430] FP   K00136.01      (depth=   5144 ppm) ... OK  (7s, p_dip=-0.0020, s_dip=-0.0020, oe_amp=0.0005)
  [ 92/430] FP   K04089.01      (depth=   5134 ppm) ... OK  (4s, p_dip=-0.0044, s_dip=-0.0044, oe_amp=0.0004)
  [ 93/430] FP   K03293.01      (depth=   5103 ppm) ... OK  (2s, p_dip=-0.0045, s_dip=-0.0045, oe_amp=0.0005)
  [ 94/430] FP   K01285.01      (depth=   5080 ppm) ... OK  (3s, p_dip=-0.0045, s_dip=-0.0045, oe_amp=0.0003)
  [ 95/430] FP   K03622.01      (depth=   5025 ppm) ... OK  (3s, p_dip=-0.0032, s_dip=-0.0032, oe_amp=0.0002)
  [ 96/430] FP   K06235.01      (depth=   5021 ppm) ... OK  (3s, p_dip=-0.0050, s_dip=-0.0050, oe_amp=0.0008)
  [ 97/430] FP   K01088.01      (depth=   4994 ppm) ... OK  (8s, p_dip=-0.0050, s_dip=-0.0050, oe_amp=0.0002)
  [ 98/430] FP   K01090.01      (depth=   4952 ppm) ... OK  (8s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0001)
  [ 99/430] FP   K08103.01      (depth=   4929 ppm) ... OK  (8s, p_dip=-0.0071, s_dip=-0.0071, oe_amp=0.0002)
  [100/430] FP   K07374.01      (depth=   4880 ppm) ... OK  (2s, p_dip=-0.0047, s_dip=-0.0047, oe_amp=0.0015)
  [101/430] FP   K00407.01      (depth=   4872 ppm) ... OK  (8s, p_dip=-0.0050, s_dip=-0.0050, oe_amp=0.0002)
  [102/430] FP   K03314.01      (depth=   4857 ppm) ... OK  (5s, p_dip=-0.0318, s_dip=-0.0318, oe_amp=0.0011)
  [103/430] FP   K06114.01      (depth=   4856 ppm) ... OK  (3s, p_dip=-0.0003, s_dip=-0.0003, oe_amp=0.0001)
