kepoi_name,ss,snr
K01270.02,0,34.1
K01271.01,0,370.2
K01272.01,1,125.5
K01273.01,0,62.6
K01332.02,0,17.4
K01332.03,0,20.9
K01333.01,0,59.1
K01334.01,1,35.7
K00159.01,0,93.6
K01388.01,1,1305.9
K01389.01,1,192.2
K01390.01,1,152.6
K01391.01,1,202.1
K01392.01,0,125.6
K01393.01,0,92.3
K01453.01,1,223.1
K01454.01,1,297.0
K01455.01,0,282.8
K01456.01,0,392.3
K01457.01,0,461.5
K01274.01,0,96.1
K01275.01,0,99.5
K01276.01,0,47.7
K01276.02,0,17.6
K01277.01,1,80.2
K01335.01,0,76.9
K01336.01,0,26.6
K01336.02,0,24.7
K01336.03,0,19.0
K01336.04,0,14.3
K01394.01,1,39.8
K01395.01,0,31.6
K00166.01,0,76.2
K01396.01,0,40.6
K01396.02,0,19.6
K01397.01,0,44.8
K01207.01,0,31.0
K01208.01,0,60.3
K01209.01,0,21.5
K01210.01,0,26.8
K00016.01,1,132.1
K00152.04,0,19.4
K01278.01,0,39.4
K00157.01,0,119.3
K01278.02,0,40.5
K01278.03,0,13.2
K01278.04,0,13.3
K01337.01,0,30.1
K01338.01,0,31.3
K01338.02,0,14.7
K01338.03,0,10.2
K01339.01,0,26.7
K01398.01,0,38.1
K01399.01,0,28.3
K01400.01,1,55.2
K01401.01,0,53.8
K01402.01,0,27.8
K01403.01,0,33.2
K01211.01,0,38.5
K01212.01,0,18.5
K01213.01,1,43.9
K01214.01,0,18.0
K01215.01,0,49.1
K01279.01,0,55.2
K01279.02,0,19.8
K01280.01,0,39.3
K01281.01,0,20.4
K01282.01,0,63.0
K00159.02,0,16.3
K01340.01,0,20.6
K01341.01,0,28.4
K01342.01,0,25.6
K01342.02,0,27.4
K01404.01,0,25.9
K00167.01,0,132.0
K01405.01,0,23.7
K01406.01,0,57.0
K01407.01,0,6.8
K01408.01,0,32.5
K01215.02,0,38.2
K01216.01,0,36.8
K01217.01,0,27.5
K01218.01,0,42.5
K01219.01,0,
K00153.01,0,135.8
K01283.01,0,37.5
K01284.01,1,441.7
K00157.02,0,122.8
K01285.01,1,138.9
K01286.01,1,161.2
K01287.01,1,166.3
K01343.01,0,25.4
K01344.01,0,25.9
K01345.01,0,520.6
K01346.01,1,24.7
K01347.01,1,2294.1
K01348.01,1,157.2
K01409.01,0,30.8
K01410.01,0,42.6
K01412.01,0,57.9
K01413.01,0,32.7
K01413.02,0,23.4
K01413.03,0,17.2
K01220.01,0,24.4
K01221.01,0,32.3
K01221.02,0,24.1
K01222.01,0,8.3
K01223.01,1,1509.3
K01224.01,1,647.1
K01288.01,0,212.5
K01289.01,0,116.1
K01290.01,1,172.9
K01291.01,1,229.7
K01292.01,0,94.3
K01293.01,1,126.6
K00160.01,0,68.4
K01349.01,1,114.5
K01350.01,1,291.1
K01352.01,1,86.3
K01353.01,0,544.7
K01353.02,0,23.4
K00168.01,0,95.4
K01414.01,1,36.1
K01415.01,0,413.9
K01416.01,1,171.4
K01417.01,1,183.0
K01418.01,1,89.7
K01225.01,0,987.2
K01226.01,1,885.9
K01227.01,1,142.7
K01228.01,1,424.6
K00153.02,0,141.4
K01229.01,0,
K01230.01,1,527.8
K01294.01,1,72.7
K00017.01,0,3003.8
K00157.03,0,128.0
K01295.01,1,79.6
K01296.01,1,2590.6
K01354.01,0,92.2
K01355.01,0,81.8
K01356.01,0,
K01357.01,0,57.3
K01358.01,0,63.9
K00161.01,0,178.6
K01419.01,1,150.0
K01420.01,0,107.9
K01421.01,0,122.8
K01422.01,0,41.1
K01422.02,0,34.4
K00168.02,0,40.3
K01231.01,0,35.3
K01232.01,1,508.4
K01233.01,1,67.0
K01234.01,0,38.7
K01235.01,1,50.4
K01297.01,0,37.8
K01298.01,0,42.1
K01298.02,0,18.0
K01299.01,0,116.2
K01300.01,0,95.8
K01301.01,0,30.4
K01358.02,0,30.7
K01358.03,0,19.9
K01358.04,0,19.6
K01359.01,0,55.2
K01359.02,0,76.6
K01422.03,0,16.8
K01423.01,0,39.9
K01424.01,0,65.9
K01425.01,0,50.0
K01426.01,0,73.4
K01236.01,0,58.4
K01236.02,0,45.9
K01236.03,0,44.9
K00154.01,0,
K01237.01,1,58.0
K01238.01,0,44.0
K01301.02,0,28.9
K01302.01,0,48.3
K00157.04,0,59.0
K01303.01,0,66.7
K01304.01,0,17.0
K01602.01,0,21.8
K01603.01,0,32.9
K00187.01,1,1266.2
K01604.01,0,39.2
K01605.01,1,22.0
K01713.02,0,33.8
K01715.01,0,33.9
K01716.01,0,32.6
K01717.01,0,21.7
K01718.01,0,37.2
K01488.01,0,45.1
K01489.01,0,34.3
K01490.01,0,77.1
K01491.01,0,35.3
K01492.01,1,118.2
K01557.01,0,114.7
K01557.02,0,63.1
K01557.03,0,37.7
K00180.01,0,66.5
K01557.04,0,22.2
K01606.01,0,40.9
K01607.01,0,26.6
K01608.01,0,34.3
K01608.02,0,20.3
K01609.01,0,43.4
K01720.01,0,21.2
K01721.01,0,27.2
K00192.01,0,1245.7
K01722.01,0,22.9
K01723.01,0,31.9
K01493.01,0,42.4
K01494.01,0,20.2
K01495.01,0,49.2
K00174.01,0,59.4
K01496.01,1,66.3
K01558.01,1,148.1
K01559.01,1,108.8
K01560.01,0,113.6
K01561.01,1,50.5
K01562.01,0,44.4
K01610.01,0,31.7
K01612.01,0,23.2
K01613.01,0,28.4
K00021.01,1,292.1
K00188.01,0,1549.0
K01615.01,0,37.6
K01724.01,0,33.2
K01725.01,0,49.2
K01726.01,0,88.0
K01727.01,0,109.8
K01728.01,1,69.9
K01497.01,1,28.9
K01498.01,0,36.6
K01498.02,0,15.8
K01499.01,0,71.5
K01499.02,0,11.6
K01499.03,0,12.1
K01563.01,0,51.9
K01563.02,0,34.7
K01563.03,0,20.6
K01563.04,0,20.4
K00181.01,1,1131.7
K01616.01,0,28.9
K01618.01,0,12.4
K01619.01,0,13.6
K01621.01,0,46.1
K01622.01,0,46.8
K01626.01,0,51.3
K01731.01,0,14.9
K01732.01,0,27.1
K01733.01,0,17.6
K00193.01,1,929.0
K01736.01,0,22.1
K01500.01,0,38.8
K01501.01,0,30.8
K01502.01,0,37.0
K00175.01,0,46.5
K01503.01,0,72.3
K01564.01,0,119.5
K01565.01,1,103.6
K01566.01,0,17.1
K01567.01,0,48.2
K01567.02,0,28.2
K01627.01,0,31.3
K01627.02,0,15.9
K01628.01,0,47.1
K00189.01,0,1126.2
K01629.01,0,26.4
K01738.01,0,32.9
K01739.01,0,
K01746.01,0,20.7
K01747.01,1,20.8
K01749.01,0,20.1
K01750.01,0,23.6
K01504.01,1,93.0
K01505.01,0,26.3
K01506.01,0,40.9
K01507.01,0,33.2
K01508.01,0,29.7
K01509.01,1,176.5
K01567.03,0,34.8
K01567.04,0,28.9
K01568.01,0,34.2
K01569.01,0,36.8
K01570.01,0,57.4
K01630.01,0,19.5
K01632.01,0,27.7
K01633.01,0,17.9
K01637.01,0,22.4
K01639.02,0,5.4
K01764.01,0,102.8
