Fetching target lists from NASA Exoplanet Archive...
  Archive has 350 confirmed, 764 FP
  Selected 250 confirmed, 250 FP
  [ 94/500] CONF K00951.01    (depth=   2141 ppm) ... OK  (9s, p_dip=-0.0018, s_dip=-0.0018, oe_amp=0.0001)
  [ 95/500] CONF K00547.01    (depth=   2106 ppm) ... OK  (9s, p_dip=-0.0016, s_dip=-0.0016, oe_amp=0.0001)
  [ 96/500] CONF K01573.01    (depth=   2091 ppm) ... OK  (8s, p_dip=-0.0009, s_dip=-0.0009, oe_amp=0.0002)
  [ 97/500] CONF K00940.01    (depth=   2090 ppm) ... OK  (7s, p_dip=-0.0021, s_dip=-0.0021, oe_amp=0.0001)
  [ 98/500] CONF K00250.02    (depth=   2055 ppm) ... OK  (2s, p_dip=-0.0008, s_dip=-0.0008, oe_amp=0.0002)
  [ 99/500] CONF K00956.01    (depth=   2040 ppm) ... OK  (8s, p_dip=-0.0019, s_dip=-0.0019, oe_amp=0.0001)
  [100/500] CONF K00844.01    (depth=   2020 ppm) ... OK  (6s, p_dip=-0.0020, s_dip=-0.0020, oe_amp=0.0002)
  [101/500] CONF K00723.03    (depth=   1996 ppm) ... OK  (8s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0005)
  [102/500] CONF K02793.01    (depth=   1932 ppm) ... OK  (4s, p_dip=-0.0019, s_dip=-0.0019, oe_amp=0.0004)
  [103/500] CONF K00952.03    (depth=   1925 ppm) ... OK  (2s, p_dip=-0.0011, s_dip=-0.0011, oe_amp=0.0003)
  [104/500] CONF K00747.01    (depth=   1913 ppm) ... OK  (8s, p_dip=-0.0016, s_dip=-0.0016, oe_amp=0.0002)
  [105/500] CONF K00935.01    (depth=   1910 ppm) ... OK  (8s, p_dip=-0.0017, s_dip=-0.0017, oe_amp=0.0001)
  [106/500] CONF K00220.01    (depth=   1872 ppm) ... OK  (8s, p_dip=-0.0019, s_dip=-0.0019, oe_amp=0.0001)
  [107/500] CONF K00348.01    (depth=   1845 ppm) ... OK  (7s, p_dip=-0.0010, s_dip=-0.0010, oe_amp=0.0002)
  [108/500] CONF K00880.01    (depth=   1844 ppm) ... OK  (2s, p_dip=-0.0011, s_dip=-0.0011, oe_amp=0.0003)
  [109/500] CONF K00723.02    (depth=   1840 ppm) ... OK  (2s, p_dip=-0.0009, s_dip=-0.0009, oe_amp=0.0012)
  [110/500] CONF K02715.02    (depth=   1839 ppm) ... OK  (1s, p_dip=-0.0018, s_dip=-0.0018, oe_amp=0.0003)
  [111/500] CONF K00249.01    (depth=   1827 ppm) ... OK  (8s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0001)
  [112/500] CONF K00961.01    (depth=   1821 ppm) ... OK  (7s, p_dip=-0.0016, s_dip=-0.0016, oe_amp=0.0001)
  [113/500] CONF K02842.03    (depth=   1820 ppm) ... OK  (1s, p_dip=-0.0016, s_dip=-0.0016, oe_amp=0.0004)
  [114/500] CONF K00478.01    (depth=   1796 ppm) ... OK  (6s, p_dip=-0.0007, s_dip=-0.0007, oe_amp=0.0001)
  [115/500] CONF K01470.01    (depth=   1786 ppm) ... OK  (5s, p_dip=-0.0016, s_dip=-0.0016, oe_amp=0.0002)
  [116/500] CONF K00248.01    (depth=   1766 ppm) ... OK  (7s, p_dip=-0.0017, s_dip=-0.0017, oe_amp=0.0002)
  [117/500] CONF K00398.02    (depth=   1766 ppm) ... OK  (7s, p_dip=-0.0017, s_dip=-0.0017, oe_amp=0.0001)
  [118/500] CONF K01557.01    (depth=   1746 ppm) ... OK  (2s, p_dip=-0.0017, s_dip=-0.0017, oe_amp=0.0003)
  [119/500] CONF K00676.02    (depth=   1723 ppm) ... OK  (2s, p_dip=-0.0016, s_dip=-0.0016, oe_amp=0.0006)
  [120/500] CONF K00674.01    (depth=   1718 ppm) ... OK  (4s, p_dip=-0.0017, s_dip=-0.0017, oe_amp=0.0001)
  [121/500] CONF K03138.01    (depth=   1679 ppm) ... OK  (6s, p_dip=-0.0011, s_dip=-0.0011, oe_amp=0.0005)
  [122/500] CONF K00912.01    (depth=   1676 ppm) ... OK  (8s, p_dip=-0.0019, s_dip=-0.0019, oe_amp=0.0003)
  [123/500] CONF K00507.01    (depth=   1656 ppm) ... OK  (2s, p_dip=-0.0009, s_dip=-0.0009, oe_amp=0.0003)
  [124/500] CONF K00812.01    (depth=   1633 ppm) ... OK  (8s, p_dip=-0.0017, s_dip=-0.0017, oe_amp=0.0002)
  [125/500] CONF K01078.02    (depth=   1632 ppm) ... OK  (7s, p_dip=-0.0011, s_dip=-0.0011, oe_amp=0.0002)
  [126/500] CONF K01078.03    (depth=   1630 ppm) ... OK  (1s, p_dip=-0.0004, s_dip=-0.0004, oe_amp=0.0003)
  [127/500] CONF K02926.01    (depth=   1617 ppm) ... OK  (4s, p_dip=-0.0014, s_dip=-0.0014, oe_amp=0.0003)
  [128/500] CONF K01422.02    (depth=   1608 ppm) ... OK  (2s, p_dip=-0.0008, s_dip=-0.0008, oe_amp=0.0002)
  [129/500] CONF K01480.01    (depth=   1597 ppm) ... OK  (8s, p_dip=-0.0010, s_dip=-0.0010, oe_amp=0.0003)
  [130/500] CONF K00416.01    (depth=   1597 ppm) ... OK  (8s, p_dip=-0.0013, s_dip=-0.0013, oe_amp=0.0001)
  [131/500] CONF K00947.01    (depth=   1585 ppm) ... OK  (9s, p_dip=-0.0007, s_dip=-0.0007, oe_amp=0.0003)
  [132/500] CONF K00435.01    (depth=   1564 ppm) ... OK  (8s, p_dip=-0.0014, s_dip=-0.0014, oe_amp=0.0001)
  [133/500] CONF K00818.01    (depth=   1558 ppm) ... OK  (2s, p_dip=-0.0014, s_dip=-0.0014, oe_amp=0.0002)
  [134/500] CONF K04290.01    (depth=   1544 ppm) ... OK  (2s, p_dip=-0.0014, s_dip=-0.0014, oe_amp=0.0009)
  [135/500] CONF K00934.01    (depth=   1539 ppm) ... OK  (8s, p_dip=-0.0015, s_dip=-0.0015, oe_amp=0.0001)
  [136/500] CONF K00952.01    (depth=   1525 ppm) ... OK  (1s, p_dip=-0.0015, s_dip=-0.0015, oe_amp=0.0003)
  [137/500] CONF K00756.01    (depth=   1518 ppm) ... OK  (6s, p_dip=-0.0015, s_dip=-0.0015, oe_amp=0.0002)
  [138/500] CONF K00104.01    (depth=   1508 ppm) ... OK  (2s, p_dip=-0.0014, s_dip=-0.0014, oe_amp=0.0001)
  [139/500] CONF K00921.02    (depth=   1507 ppm) ... OK  (8s, p_dip=-0.0013, s_dip=-0.0013, oe_amp=0.0002)
  [140/500] CONF K00812.02    (depth=   1495 ppm) ... OK  (2s, p_dip=-0.0009, s_dip=-0.0009, oe_amp=0.0002)
  [141/500] CONF K00766.01    (depth=   1487 ppm) ... OK  (8s, p_dip=-0.0015, s_dip=-0.0015, oe_amp=0.0001)
  [142/500] CONF K00500.01    (depth=   1480 ppm) ... OK  (7s, p_dip=-0.0014, s_dip=-0.0014, oe_amp=0.0002)
  [143/500] CONF K00926.01    (depth=   1473 ppm) ... OK  (3s, p_dip=-0.0015, s_dip=-0.0015, oe_amp=0.0002)
  [144/500] CONF K01014.01    (depth=   1473 ppm) ... OK  (9s, p_dip=-0.0010, s_dip=-0.0010, oe_amp=0.0003)
  [145/500] CONF K01725.01    (depth=   1473 ppm) ... OK  (5s, p_dip=-0.0011, s_dip=-0.0011, oe_amp=0.0002)
  [146/500] CONF K01298.01    (depth=   1462 ppm) ... OK  (10s, p_dip=-0.0009, s_dip=-0.0009, oe_amp=0.0002)
  [147/500] CONF K00239.01    (depth=   1453 ppm) ... OK  (10s, p_dip=-0.0014, s_dip=-0.0014, oe_amp=0.0001)
  [148/500] CONF K00867.01    (depth=   1442 ppm) ... OK  (3s, p_dip=-0.0011, s_dip=-0.0011, oe_amp=0.0001)
  [149/500] CONF K00408.01    (depth=   1434 ppm) ... OK  (9s, p_dip=-0.0014, s_dip=-0.0014, oe_amp=0.0001)
  [150/500] CONF K00898.03    (depth=   1432 ppm) ... OK  (10s, p_dip=-0.0010, s_dip=-0.0010, oe_amp=0.0003)
  [151/500] CONF K00156.03    (depth=   1431 ppm) ... OK  (10s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0001)
  [152/500] CONF K01194.01    (depth=   1420 ppm) ... OK  (6s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0002)
  [153/500] CONF K00877.01    (depth=   1411 ppm) ... OK  (4s, p_dip=-0.0014, s_dip=-0.0014, oe_amp=0.0002)
  [154/500] CONF K00472.01    (depth=   1410 ppm) ... OK  (9s, p_dip=-0.0014, s_dip=-0.0014, oe_amp=0.0002)
  [155/500] CONF K02156.01    (depth=   1403 ppm) ... OK  (10s, p_dip=-0.0011, s_dip=-0.0011, oe_amp=0.0002)
  [156/500] CONF K01358.01    (depth=   1398 ppm) ... OK  (8s, p_dip=-0.0013, s_dip=-0.0013, oe_amp=0.0002)
  [157/500] CONF K00248.02    (depth=   1387 ppm) ... OK  (3s, p_dip=-0.0010, s_dip=-0.0010, oe_amp=0.0001)
  [158/500] CONF K00884.02    (depth=   1382 ppm) ... OK  (3s, p_dip=-0.0003, s_dip=-0.0003, oe_amp=0.0003)
  [159/500] CONF K00460.01    (depth=   1378 ppm) ... OK  (9s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0001)
  [160/500] CONF K02034.01    (depth=   1375 ppm) ... OK  (5s, p_dip=-0.0011, s_dip=-0.0011, oe_amp=0.0006)
  [161/500] CONF K00144.01    (depth=   1360 ppm) ... OK  (7s, p_dip=-0.0013, s_dip=-0.0013, oe_amp=0.0001)
  [162/500] CONF K00942.01    (depth=   1357 ppm) ... OK  (8s, p_dip=-0.0008, s_dip=-0.0008, oe_amp=0.0001)
  [163/500] CONF K06166.01    (depth=   1337 ppm) ... OK  (1s, p_dip=-0.0010, s_dip=-0.0010, oe_amp=0.0017)
  [164/500] CONF K01422.01    (depth=   1336 ppm) ... OK  (1s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0002)
  [165/500] CONF K00886.01    (depth=   1334 ppm) ... OK  (9s, p_dip=-0.0009, s_dip=-0.0009, oe_amp=0.0002)
  [166/500] CONF K01563.01    (depth=   1329 ppm) ... OK  (2s, p_dip=-0.0013, s_dip=-0.0013, oe_amp=0.0003)
  [167/500] CONF K00896.02    (depth=   1328 ppm) ... OK  (8s, p_dip=-0.0013, s_dip=-0.0013, oe_amp=0.0002)
  [168/500] CONF K01895.01    (depth=   1320 ppm) ... OK  (8s, p_dip=-0.0008, s_dip=-0.0008, oe_amp=0.0009)
  [169/500] CONF K00581.01    (depth=   1317 ppm) ... OK  (2s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0002)
  [170/500] CONF K02715.03    (depth=   1316 ppm) ... OK  (1s, p_dip=-0.0013, s_dip=-0.0013, oe_amp=0.0004)
  [171/500] CONF K00900.01    (depth=   1310 ppm) ... OK  (8s, p_dip=-0.0010, s_dip=-0.0010, oe_amp=0.0001)
  [172/500] CONF K01557.02    (depth=   1309 ppm) ... OK  (1s, p_dip=-0.0013, s_dip=-0.0013, oe_amp=0.0004)
  [173/500] CONF K00795.01    (depth=   1304 ppm) ... OK  (9s, p_dip=-0.0011, s_dip=-0.0011, oe_amp=0.0001)
  [174/500] CONF K00958.01    (depth=   1301 ppm) ... OK  (2s, p_dip=-0.0002, s_dip=-0.0002, oe_amp=0.0003)
  [175/500] CONF K00046.01    (depth=   1299 ppm) ... OK  (8s, p_dip=-0.0013, s_dip=-0.0013, oe_amp=0.0001)
  [176/500] CONF K00456.01    (depth=   1293 ppm) ... OK  (8s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0001)
  [177/500] CONF K00746.01    (depth=   1288 ppm) ... OK  (8s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0002)
  [178/500] CONF K00222.01    (depth=   1286 ppm) ... OK  (9s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0001)
  [179/500] CONF K00345.01    (depth=   1276 ppm) ... OK  (2s, p_dip=-0.0007, s_dip=-0.0007, oe_amp=0.0003)
  [180/500] CONF K00723.01    (depth=   1266 ppm) ... OK  (2s, p_dip=-0.0013, s_dip=-0.0013, oe_amp=0.0003)
  [181/500] CONF K00892.01    (depth=   1255 ppm) ... OK  (9s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0001)
  [182/500] CONF K01874.01    (depth=   1252 ppm) ... OK  (8s, p_dip=-0.0009, s_dip=-0.0009, oe_amp=0.0001)
  [183/500] CONF K00733.02    (depth=   1250 ppm) ... OK  (8s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0002)
  [184/500] CONF K03925.01    (depth=   1243 ppm) ... OK  (1s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0006)
  [185/500] CONF K00923.01    (depth=   1240 ppm) ... OK  (8s, p_dip=-0.0012, s_dip=-0.0012, oe_amp=0.0001)
  [186/500] CONF K01907.01    (depth=   1221 ppm) ... OK  (8s, p_dip=-0.0008, s_dip=-0.0008, oe_amp=0.0001)
  [187/500] CONF K00784.01    (depth=   1220 ppm) ... OK  (8s, p_dip=-0.0006, s_dip=-0.0006, oe_amp=0.0002)
  [188/500] CONF K00878.01    (depth=   1201 ppm) ... OK  (9s, p_dip=-0.0008, s_dip=-0.0008, oe_amp=0.0001)
  [189/500] CONF K02256.01    (depth=   1199 ppm) ... OK  (3s, p_dip=-0.0010, s_dip=-0.0010, oe_amp=0.0002)
  [190/500] CONF K00845.01    (depth=   1188 ppm) ... OK  (10s, p_dip=-0.0011, s_dip=-0.0011, oe_amp=0.0001)
  [191/500] CONF K00738.01    (depth=   1185 ppm) ... OK  (8s, p_dip=-0.0010, s_dip=-0.0010, oe_amp=0.0002)
  [192/500] CONF K00817.01    (depth=   1182 ppm) ... OK  (7s, p_dip=-0.0006, s_dip=-0.0006, oe_amp=0.0004)
  [193/500] CONF K00821.01    (depth=   1175 ppm) ... OK  (7s, p_dip=-0.0009, s_dip=-0.0009, oe_amp=0.0001)
